,unnamed: 0,customer,state,customer lifetime value,response,coverage,education,effective to date,employmentstatus,gender,income,location code,marital status,monthly premium auto,months since last claim,months since policy inception,number of open complaints,number of policies,policy type,policy,renew offer type,sales channel,total claim amount,vehicle class,vehicle size,vehicle type,month
63,63,AV25133,Oregon,3095.705571,No,Extended,College,2011-01-12,Unemployed,F,0,Suburban,Single,92,31.0,24,1.0,1,Personal Auto,Personal L3,Offer3,Web,774.892461,Two-Door Car,Small,,1
64,64,WL24392,Arizona,5860.16743,No,Basic,Bachelor,2011-02-01,Employed,M,94527,Rural,Married,73,16.0,32,0.0,3,Personal Auto,Personal L1,Offer1,Agent,41.464402,Four-Door Car,Medsize,A,2
65,65,LO57874,Oregon,2300.691547,Yes,Basic,Bachelor,2011-01-15,Retired,M,25905,Suburban,Divorced,63,21.0,12,0.0,1,Corporate Auto,Corporate L3,Offer1,Agent,302.4,Four-Door Car,Large,,1
66,66,UO54511,California,4950.250892,No,Basic,High School or Below,2011-01-20,Employed,F,27400,Suburban,Married,63,14.0,78,1.0,9,Personal Auto,Personal L1,Offer3,Agent,302.4,Four-Door Car,Medsize,A,1
67,67,KR35099,Washington,7507.455372,Yes,Basic,College,2011-02-06,Employed,M,60920,Urban,Single,64,,61,,2,Personal Auto,Personal L3,Offer2,Agent,231.201886,Two-Door Car,Medsize,A,2
68,68,NY12562,Nevada,2224.089639,No,Basic,College,2011-01-05,Unemployed,F,0,Suburban,Single,64,20.0,4,0.0,1,Corporate Auto,Corporate L2,Offer2,Branch,483.25721,Four-Door Car,Medsize,A,1
69,69,QG27547,Oregon,2867.312197,Yes,Extended,Bachelor,2011-01-03,Retired,F,23376,Suburban,Divorced,78,19.0,18,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,374.4,Four-Door Car,Medsize,A,1
70,70,PH78214,Oregon,5427.174517,No,Basic,College,2011-02-11,Medical Leave,F,27677,Suburban,Married,72,10.0,82,1.0,3,Personal Auto,Personal L3,Offer2,Agent,345.6,Four-Door Car,Medsize,,2
71,71,LO37570,Arizona,12157.5413,No,Extended,High School or Below,2011-01-07,Employed,M,40432,Suburban,Married,77,21.0,66,0.0,2,Personal Auto,Personal L3,Offer3,Agent,369.6,Four-Door Car,Medsize,A,1
72,72,FH81409,California,8152.244431,No,Extended,High School or Below,2011-01-21,Unemployed,M,0,Suburban,Single,79,19.0,70,0.0,2,Personal Auto,Personal L1,Offer1,Agent,568.8,Four-Door Car,Small,,1
73,73,RW65977,Arizona,2191.133237,No,Basic,College,2011-01-29,Unemployed,M,0,Suburban,Single,61,9.0,16,1.0,1,Special Auto,Special L2,Offer1,Agent,439.2,Four-Door Car,Medsize,,1
74,74,LD75023,Oregon,26346.08582,No,Extended,High School or Below,2011-01-20,Employed,M,48268,Suburban,Divorced,223,28.0,26,0.0,2,Personal Auto,Personal L2,Offer1,Web,1605.6,Luxury SUV,Medsize,,1
75,75,OZ92426,Oregon,2364.43161,No,Basic,College,2011-01-18,Employed,M,46264,Urban,Single,62,17.0,75,0.0,1,Corporate Auto,Corporate L1,Offer4,Branch,199.37361,Four-Door Car,Medsize,,1
76,76,FI17798,California,2710.12066,No,Basic,Doctor,2011-01-11,Unemployed,M,0,Suburban,Married,71,7.0,87,0.0,1,Personal Auto,Personal L3,Offer1,Agent,340.8,Four-Door Car,Small,,1
77,77,YC54142,Washington,74228.51604,No,Extended,High School or Below,2011-01-26,Unemployed,M,0,Suburban,Single,242,1.0,34,0.0,2,Personal Auto,Personal L1,Offer1,Branch,1742.4,Luxury Car,Medsize,,1
78,78,LN28900,California,14687.07959,No,Extended,Bachelor,2011-02-23,Unemployed,M,0,Suburban,Single,85,3.0,61,0.0,2,Personal Auto,Personal L1,Offer1,Web,612.0,Four-Door Car,Small,A,2
79,79,SX63814,Arizona,9312.585034,No,Premium,High School or Below,2011-02-13,Employed,M,75986,Rural,Married,115,11.0,44,0.0,3,Personal Auto,Personal L3,Offer3,Call Center,89.119797,Four-Door Car,Medsize,,2
80,80,VM85555,California,7750.120323,No,Basic,College,2011-02-23,Employed,F,22668,Rural,Single,67,5.0,34,1.0,2,Personal Auto,Personal L2,Offer3,Branch,33.718553,Four-Door Car,Medsize,A,2
81,81,RO18530,Washington,2540.689797,No,Basic,Master,2011-02-28,Employed,M,42557,Rural,Single,65,4.0,35,0.0,1,Personal Auto,Personal L3,Offer4,Agent,57.562324,Four-Door Car,Large,,2
82,82,FR48094,Arizona,2456.816127,No,Basic,High School or Below,2011-02-15,Unemployed,M,0,Suburban,Single,73,15.0,59,0.0,1,Personal Auto,Personal L3,Offer4,Branch,525.6,Four-Door Car,Small,A,2
83,83,DY27653,Oregon,3755.806897,No,Extended,High School or Below,2011-01-04,Employed,F,56178,Suburban,Married,94,1.0,39,0.0,1,Personal Auto,Personal L3,Offer2,Branch,451.2,Four-Door Car,Medsize,,1
84,84,OH69760,Arizona,5181.054467,No,Basic,College,2011-02-02,Unemployed,F,0,Suburban,Married,70,,64,,7,Personal Auto,Personal L1,Offer1,Branch,336.0,Four-Door Car,Large,,2
85,85,CH50584,Oregon,32474.76977,No,Basic,High School or Below,2011-01-22,Employed,M,71449,Suburban,Divorced,102,17.0,7,0.0,2,Personal Auto,Personal L3,Offer4,Call Center,734.4,SUV,Small,A,1
86,86,WM19996,California,8349.523082,No,Basic,Bachelor,2011-01-09,Employed,M,45428,Urban,Divorced,109,,46,,3,Corporate Auto,Corporate L3,Offer1,Call Center,487.273964,SUV,Medsize,A,1
87,87,ZH92587,Oregon,8126.766397,No,Basic,College,2011-02-22,Disabled,F,14616,Suburban,Married,107,,73,,3,Personal Auto,Personal L3,Offer1,Agent,513.6,,,,2
88,88,CJ51511,Arizona,13466.92071,Yes,Basic,High School or Below,2011-02-23,Disabled,F,11432,Suburban,Married,119,,9,,2,Corporate Auto,Corporate L3,Offer2,Agent,571.2,,,,2
89,89,ME37450,Arizona,5210.348372,No,Basic,Bachelor,2011-01-04,Employed,M,89781,Rural,Single,66,7.0,89,0.0,5,Special Auto,Special L2,Offer1,Agent,37.960537,,,A,1
90,90,KO86181,Oregon,6941.872931,No,Basic,College,2011-02-11,Unemployed,F,0,Suburban,Single,111,3.0,73,3.0,6,Personal Auto,Personal L3,Offer1,Agent,532.8,SUV,Small,A,2
91,91,KD63933,California,7048.384055,No,Basic,College,2011-02-19,Medical Leave,M,24030,Suburban,Single,194,14.0,0,0.0,1,Personal Auto,Personal L1,Offer1,Agent,970.688934,Luxury SUV,Medsize,,2
92,92,CM66204,Arizona,26770.44534,No,Basic,College,2011-01-23,Employed,F,26335,Urban,Married,113,32.0,7,1.0,2,Personal Auto,Personal L2,Offer1,Call Center,355.818306,SUV,Large,,1
93,93,NV13794,Nevada,9549.113813,No,Basic,High School or Below,2011-02-09,Employed,F,55986,Urban,Married,119,3.0,60,0.0,9,Personal Auto,Personal L1,Offer1,Agent,388.506303,SUV,Small,,2
94,94,HF75891,Washington,4331.460674,No,Basic,High School or Below,2011-02-11,Employed,F,82302,Suburban,Married,106,11.0,92,0.0,1,Personal Auto,Personal L2,Offer1,Branch,722.178166,SUV,Medsize,,2
95,95,NB81923,Washington,7294.492993,No,Basic,College,2011-02-24,Unemployed,F,0,Suburban,Single,113,12.0,66,2.0,7,Personal Auto,Personal L3,Offer1,Call Center,733.737214,Sports Car,Medsize,A,2
96,96,AV96010,Oregon,3289.120863,No,Extended,College,2011-01-29,Employed,M,40097,Rural,Single,92,23.0,35,4.0,1,Personal Auto,Personal L2,Offer1,Call Center,227.221652,Two-Door Car,Medsize,,1
97,97,CA22248,Oregon,2505.42043,No,Basic,Master,2011-02-14,Employed,F,60546,Rural,Single,63,21.0,71,0.0,1,Personal Auto,Personal L3,Offer2,Branch,46.278027,,,A,2
98,98,PK23339,Arizona,3417.953745,No,Extended,High School or Below,2011-01-25,Employed,F,72460,Urban,Married,85,9.0,76,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,370.018108,Four-Door Car,Medsize,A,1
99,99,JY66887,California,16320.76716,No,Extended,High School or Below,2011-02-27,Unemployed,F,0,Suburban,Single,247,5.0,12,3.0,5,Personal Auto,Personal L2,Offer2,Branch,1778.4,Luxury Car,Medsize,,2
100,100,NH16984,California,2838.067784,No,Extended,Bachelor,2011-02-07,Unemployed,F,0,Urban,Divorced,80,30.0,8,0.0,1,Personal Auto,Personal L1,Offer1,Web,336.50961,Four-Door Car,Medsize,,2
101,101,UV12583,California,4700.583771,No,Basic,College,2011-02-18,Employed,F,76694,Suburban,Married,117,34.0,23,0.0,1,Personal Auto,Personal L1,Offer4,Agent,561.6,SUV,Medsize,A,2
102,102,VG56765,Arizona,2471.528431,Yes,Basic,High School or Below,2011-01-15,Employed,M,95697,Rural,Married,61,16.0,55,0.0,1,Personal Auto,Personal L2,Offer2,Agent,114.273025,Two-Door Car,Medsize,A,1
103,103,AK11669,Arizona,10130.93442,No,Extended,Doctor,2011-01-17,Employed,F,59232,Suburban,Divorced,85,6.0,75,0.0,2,Corporate Auto,Corporate L3,Offer3,Branch,408.0,Two-Door Car,Medsize,A,1
104,104,SZ60450,California,3419.108695,No,Extended,High School or Below,2011-02-13,Employed,M,40272,Rural,Married,86,8.0,64,0.0,1,Personal Auto,Personal L3,Offer3,Agent,23.387192,Two-Door Car,Medsize,,2
105,105,MS87381,California,23866.15656,No,Extended,High School or Below,2011-02-14,Unemployed,F,0,Suburban,Married,81,27.0,93,1.0,2,Personal Auto,Personal L2,Offer3,Branch,388.8,Four-Door Car,Medsize,A,2
106,106,LP47259,Arizona,8324.23271,No,Extended,High School or Below,2011-01-01,Unemployed,M,0,Suburban,Single,121,,92,,5,Corporate Auto,Corporate L3,Offer2,Branch,871.2,Sports Car,Medsize,A,1
107,107,No31089,Arizona,3179.474225,No,Extended,Bachelor,2011-01-21,Employed,F,65742,Urban,Married,79,6.0,0,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,277.360797,Four-Door Car,Medsize,,1
108,108,SD83603,Oregon,6672.127831,No,Extended,College,2011-02-13,Employed,F,56830,Urban,Married,83,,27,,9,Personal Auto,Personal L1,Offer2,Agent,319.799712,Two-Door Car,Medsize,A,2
109,109,TK65222,California,16407.66461,No,Premium,Bachelor,2011-01-12,Employed,M,22103,Rural,Single,109,16.0,31,0.0,2,Personal Auto,Personal L2,Offer1,Agent,160.338007,Four-Door Car,Large,,1
110,110,HB48073,Arizona,9371.773682,No,Basic,Bachelor,2011-02-01,Employed,F,66325,Urban,Married,117,10.0,10,0.0,5,Corporate Auto,Corporate L2,Offer1,Agent,497.719213,SUV,Medsize,A,2
111,111,DO60145,Arizona,4270.034394,Yes,Extended,College,2011-01-19,Unemployed,M,0,Suburban,Married,122,27.0,2,0.0,1,Personal Auto,Personal L3,Offer2,Agent,725.870693,SUV,Medsize,,1
112,112,BA40043,California,5799.826802,No,Basic,College,2011-01-03,Employed,M,60689,Rural,Single,74,29.0,67,0.0,7,Corporate Auto,Corporate L2,Offer2,Branch,5.746657,Four-Door Car,Medsize,,1
113,113,EC28398,Oregon,5096.673223,Yes,Basic,Master,2011-01-28,Disabled,F,22886,Suburban,Divorced,65,9.0,81,0.0,3,Corporate Auto,Corporate L2,Offer1,Agent,312.0,Four-Door Car,Small,A,1
114,114,FE99816,Nevada,15563.36944,No,Premium,Bachelor,2011-01-19,Unemployed,F,0,Suburban,Married,253,15.0,40,5.0,7,Personal Auto,Personal L1,Offer3,Web,1214.4,Luxury Car,Medsize,A,1
115,115,HS39343,Washington,7475.784971,No,Basic,Bachelor,2011-01-26,Disabled,F,29633,Urban,Married,196,26.0,57,0.0,1,Corporate Auto,Corporate L3,Offer1,Agent,534.653787,Luxury Car,Medsize,A,1
116,116,GL44478,Oregon,9986.661111,No,Extended,High School or Below,2011-01-22,Disabled,M,24067,Suburban,Single,132,12.0,2,0.0,6,Corporate Auto,Corporate L3,Offer2,Branch,633.6,Sports Car,Medsize,,1
117,117,EF84269,California,5568.656492,No,Extended,College,2011-02-21,Employed,F,51489,Rural,Married,139,14.0,10,0.0,1,Personal Auto,Personal L2,Offer1,Web,236.739322,SUV,Medsize,A,2
118,118,RD22761,Washington,20579.69157,No,Basic,Bachelor,2011-01-16,Unemployed,M,0,Suburban,Single,69,5.0,26,0.0,2,Personal Auto,Personal L3,Offer3,Call Center,566.673518,Four-Door Car,Medsize,A,1
119,119,DO41287,Oregon,8276.44416,No,Extended,High School or Below,2011-02-18,Unemployed,M,0,Suburban,Single,82,29.0,92,0.0,2,Personal Auto,Personal L2,Offer3,Branch,590.4,Four-Door Car,Medsize,A,2
120,120,OO89057,California,4014.332715,No,Extended,Master,2011-02-17,Employed,F,54054,Rural,Married,99,7.0,55,0.0,1,Personal Auto,Personal L2,Offer2,Branch,5.661684,Four-Door Car,Medsize,,2
121,121,DQ92905,Arizona,12989.81806,No,Basic,Bachelor,2011-02-24,Unemployed,M,0,Suburban,Single,65,16.0,3,0.0,2,Personal Auto,Personal L3,Offer1,Web,312.0,Four-Door Car,Medsize,,2
122,122,EW33419,California,15114.40241,Yes,Basic,High School or Below,2011-01-19,Medical Leave,F,28513,Suburban,Married,100,4.0,22,1.0,2,Corporate Auto,Corporate L2,Offer2,Call Center,480.0,SUV,Medsize,A,1
123,123,KH16079,Washington,4709.52218,No,Basic,High School or Below,2011-02-12,Unemployed,F,0,Suburban,Single,66,17.0,29,0.0,3,Personal Auto,Personal L1,Offer1,Agent,470.576119,Four-Door Car,Small,A,2
124,124,GU99037,Oregon,2452.977288,No,Basic,College,2011-02-14,Employed,M,79898,Urban,Married,62,5.0,86,1.0,1,Corporate Auto,Corporate L1,Offer4,Agent,271.606799,Four-Door Car,Medsize,,2
